State,County,Percent_COPD,Quartile
California,Santa Clara,3.3,3.3 - 6.0
New Mexico,Los Alamos,3.3,3.3 - 6.0
Virginia,Falls Church,3.3,3.3 - 6.0
California,San Mateo,3.5,3.3 - 6.0
Maryland,Howard,3.5,3.3 - 6.0
Maryland,Montgomery,3.5,3.3 - 6.0
California,San Francisco,3.6,3.3 - 6.0
Hawaii,Honolulu,3.6,3.3 - 6.0
Virginia,Arlington,3.6,3.3 - 6.0
California,Alameda,3.7,3.3 - 6.0
Colorado,Douglas,3.7,3.3 - 6.0
Virginia,Loudoun,3.7,3.3 - 6.0
Minnesota,Carver,3.8,3.3 - 6.0
Minnesota,Washington,3.8,3.3 - 6.0
New Jersey,Somerset,3.8,3.3 - 6.0
Virginia,Fairfax,3.8,3.3 - 6.0
Washington,King,3.8,3.3 - 6.0
Colorado,Broomfield,3.9,3.3 - 6.0
Colorado,Pitkin,3.9,3.3 - 6.0
Georgia,Forsyth,3.9,3.3 - 6.0
Minnesota,Hennepin,3.9,3.3 - 6.0
Minnesota,Scott,3.9,3.3 - 6.0
New Jersey,Bergen,3.9,3.3 - 6.0
Utah,Summit,3.9,3.3 - 6.0
Minnesota,Dakota,4.0,3.3 - 6.0
New Jersey,Morris,4.0,3.3 - 6.0
Wisconsin,Ozaukee,4.0,3.3 - 6.0
Wisconsin,Waukesha,4.0,3.3 - 6.0
California,Marin,4.1,3.3 - 6.0
Wisconsin,Dane,4.1,3.3 - 6.0
California,Contra Costa,4.2,3.3 - 6.0
Hawaii,Maui,4.2,3.3 - 6.0
Kansas,Johnson,4.2,3.3 - 6.0
Minnesota,Olmsted,4.2,3.3 - 6.0
New Jersey,Hunterdo,4.2,3.3 - 6.0
New Jersey,Middlese,4.2,3.3 - 6.0
Utah,Wasatch,4.2,3.3 - 6.0
California,Orange,4.3,3.3 - 6.0
Georgia,Oconee,4.3,3.3 - 6.0
Illinois,DuPage,4.3,3.3 - 6.0
Massachusetts,Middlesex,4.3,3.3 - 6.0
Nebraska,Sarpy,4.3,3.3 - 6.0
New York,Nassau,4.3,3.3 - 6.0
Texas,Fort Bend,4.3,3.3 - 6.0
Utah,Davis,4.3,3.3 - 6.0
Utah,Morgan,4.3,3.3 - 6.0
Virginia,Alexandria,4.3,3.3 - 6.0
Virginia,Fairfax City,4.3,3.3 - 6.0
Colorado,Boulder,4.4,3.3 - 6.0
Colorado,Clear Creek,4.4,3.3 - 6.0
Colorado,Ouray,4.4,3.3 - 6.0
Connecticut,Fairfield,4.4,3.3 - 6.0
District of Columbia,District of Columbia,4.4,3.3 - 6.0
Georgia,Fayette,4.4,3.3 - 6.0
Indiana,Hamilton,4.4,3.3 - 6.0
Iowa,Dallas,4.4,3.3 - 6.0
New Jersey,Hudson,4.4,3.3 - 6.0
New York,New York,4.4,3.3 - 6.0
South Dakota,Lincoln,4.4,3.3 - 6.0
Texas,Collin,4.4,3.3 - 6.0
Wyoming,Teton,4.4,3.3 - 6.0
California,Placer,4.5,3.3 - 6.0
Colorado,Mineral,4.5,3.3 - 6.0
Georgia,Cobb,4.5,3.3 - 6.0
Maryland,Prince George's,4.5,3.3 - 6.0
Massachusetts,Norfolk,4.5,3.3 - 6.0
Minnesota,Ramsey,4.5,3.3 - 6.0
Minnesota,Wright,4.5,3.3 - 6.0
New Jersey,Monmouth,4.5,3.3 - 6.0
New York,Westchester,4.5,3.3 - 6.0
North Carolina,Wake,4.5,3.3 - 6.0
Oregon,Washington,4.5,3.3 - 6.0
Pennsylvania,Chester,4.5,3.3 - 6.0
Utah,Utah,4.5,3.3 - 6.0
Wisconsin,St. Croix,4.5,3.3 - 6.0
Colorado,Denver,4.6,3.3 - 6.0
Connecticut,Middlesex,4.6,3.3 - 6.0
Georgia,Fulton,4.6,3.3 - 6.0
Hawaii,Kauai,4.6,3.3 - 6.0
Maryland,Frederick,4.6,3.3 - 6.0
Massachusetts,Nantucket,4.6,3.3 - 6.0
Minnesota,Cook,4.6,3.3 - 6.0
Minnesota,Dodge,4.6,3.3 - 6.0
Minnesota,Sherburne,4.6,3.3 - 6.0
Montana,Gallatin,4.6,3.3 - 6.0
New Mexico,Santa Fe,4.6,3.3 - 6.0
North Dakota,Cass,4.6,3.3 - 6.0
Pennsylvania,Montgomery,4.6,3.3 - 6.0
Tennessee,Williamson,4.6,3.3 - 6.0
Texas,Loving,4.6,3.3 - 6.0
Wisconsin,Washington,4.6,3.3 - 6.0
Alaska,Aleutians West,4.7,3.3 - 6.0
California,Los Angeles,4.7,3.3 - 6.0
California,San Benito,4.7,3.3 - 6.0
California,San Diego,4.7,3.3 - 6.0
Colorado,Eagle,4.7,3.3 - 6.0
Colorado,Gilpin,4.7,3.3 - 6.0
Colorado,Jefferson,4.7,3.3 - 6.0
Colorado,Routt,4.7,3.3 - 6.0
