State,County,Percent_COPD,Quartile,Year,Median AQI,Days Ozone,Days PM2.5,Days NO2,Days PM10
California,Santa Clara,3.3,3.3 - 6.0,2021,53,90,275,0,0
New Mexico,Los Alamos,3.3,3.3 - 6.0,2021,14,0,119,0,0
California,San Mateo,3.5,3.3 - 6.0,2021,36,199,163,3,0
Maryland,Howard,3.5,3.3 - 6.0,2021,36,0,256,109,0
Maryland,Montgomery,3.5,3.3 - 6.0,2021,42,193,168,0,0
California,San Francisco,3.6,3.3 - 6.0,2021,39,162,195,8,0
Hawaii,Honolulu,3.6,3.3 - 6.0,2021,28,266,89,2,7
Virginia,Arlington,3.6,3.3 - 6.0,2021,38,267,61,37,0
California,Alameda,3.7,3.3 - 6.0,2021,53,99,263,3,0
Colorado,Douglas,3.7,3.3 - 6.0,2021,48,295,63,0,0
Virginia,Loudoun,3.7,3.3 - 6.0,2021,37,298,56,10,0
Minnesota,Washington,3.8,3.3 - 6.0,2021,35,227,0,0,0
Virginia,Fairfax,3.8,3.3 - 6.0,2021,47,101,254,10,0
Washington,King,3.8,3.3 - 6.0,2021,43,111,240,14,0
Colorado,Pitkin,3.9,3.3 - 6.0,2021,14,0,48,0,74
Minnesota,Hennepin,3.9,3.3 - 6.0,2021,45,92,219,18,36
Minnesota,Scott,3.9,3.3 - 6.0,2021,39,209,142,0,0
New Jersey,Bergen,3.9,3.3 - 6.0,2021,43,104,207,54,0
Minnesota,Dakota,4.0,3.3 - 6.0,2021,39,0,349,16,0
New Jersey,Morris,4.0,3.3 - 6.0,2021,36,317,38,8,0
Wisconsin,Ozaukee,4.0,3.3 - 6.0,2021,43,160,204,0,0
Wisconsin,Waukesha,4.0,3.3 - 6.0,2021,51,89,275,0,1
California,Marin,4.1,3.3 - 6.0,2021,38,149,214,2,0
Wisconsin,Dane,4.1,3.3 - 6.0,2021,48,98,267,0,0
California,Contra Costa,4.2,3.3 - 6.0,2021,47,139,226,0,0
Hawaii,Maui,4.2,3.3 - 6.0,2021,21,0,363,0,0
Kansas,Johnson,4.2,3.3 - 6.0,2021,46,117,247,0,0
Minnesota,Olmsted,4.2,3.3 - 6.0,2021,39,201,160,0,0
California,Orange,4.3,3.3 - 6.0,2021,55,124,232,5,4
Illinois,DuPage,4.3,3.3 - 6.0,2021,51,100,265,0,0
Massachusetts,Middlesex,4.3,3.3 - 6.0,2021,37,157,198,10,0
Nebraska,Sarpy,4.3,3.3 - 6.0,2021,41,0,336,0,0
New York,Nassau,4.3,3.3 - 6.0,2021,32,0,360,0,0
Utah,Davis,4.3,3.3 - 6.0,2021,47,233,110,21,1
Colorado,Boulder,4.4,3.3 - 6.0,2021,52,228,136,0,1
Colorado,Clear Creek,4.4,3.3 - 6.0,2021,49,357,0,0,0
Connecticut,Fairfield,4.4,3.3 - 6.0,2021,46,133,221,9,0
Indiana,Hamilton,4.4,3.3 - 6.0,2021,44,155,210,0,0
New Jersey,Hudson,4.4,3.3 - 6.0,2021,44,98,221,46,0
New York,New York,4.4,3.3 - 6.0,2021,43,148,217,0,0
Texas,Collin,4.4,3.3 - 6.0,2021,37,357,0,0,0
Wyoming,Teton,4.4,3.3 - 6.0,2021,44,318,45,0,2
California,Placer,4.5,3.3 - 6.0,2021,58,220,144,0,1
Georgia,Cobb,4.5,3.3 - 6.0,2021,41,188,97,0,0
Maryland,Prince George's,4.5,3.3 - 6.0,2021,41,290,69,6,0
Massachusetts,Norfolk,4.5,3.3 - 6.0,2021,37,185,180,0,0
Minnesota,Ramsey,4.5,3.3 - 6.0,2021,39,0,344,0,21
Minnesota,Wright,4.5,3.3 - 6.0,2021,43,148,209,0,0
New Jersey,Monmouth,4.5,3.3 - 6.0,2021,36,255,0,0,0
New York,Westchester,4.5,3.3 - 6.0,2021,38,258,107,0,0
North Carolina,Wake,4.5,3.3 - 6.0,2021,48,109,255,1,0
Oregon,Washington,4.5,3.3 - 6.0,2021,36,139,222,4,0
Pennsylvania,Chester,4.5,3.3 - 6.0,2021,45,105,242,0,0
Utah,Utah,4.5,3.3 - 6.0,2021,49,259,97,6,3
Colorado,Denver,4.6,3.3 - 6.0,2021,55,142,116,107,0
Connecticut,Middlesex,4.6,3.3 - 6.0,2021,39,207,0,0,0
Georgia,Fulton,4.6,3.3 - 6.0,2021,53,44,318,3,0
Hawaii,Kauai,4.6,3.3 - 6.0,2021,17,0,329,35,0
Maryland,Frederick,4.6,3.3 - 6.0,2021,41,244,0,0,0
Minnesota,Cook,4.6,3.3 - 6.0,2021,9,0,328,0,0
Montana,Gallatin,4.6,3.3 - 6.0,2021,41,0,358,5,0
New Mexico,Santa Fe,4.6,3.3 - 6.0,2021,44,324,40,0,0
North Dakota,Cass,4.6,3.3 - 6.0,2021,42,132,231,0,0
Pennsylvania,Montgomery,4.6,3.3 - 6.0,2021,47,114,242,0,0
Tennessee,Williamson,4.6,3.3 - 6.0,2021,39,243,0,0,0
California,Los Angeles,4.7,3.3 - 6.0,2021,79,148,199,13,5
California,San Benito,4.7,3.3 - 6.0,2021,41,280,79,0,6
California,San Diego,4.7,3.3 - 6.0,2021,67,163,199,0,3
Colorado,Gilpin,4.7,3.3 - 6.0,2021,46,363,0,0,0
Colorado,Jefferson,4.7,3.3 - 6.0,2021,47,363,0,2,0
Colorado,Routt,4.7,3.3 - 6.0,2021,15,0,0,0,354
Colorado,San Miguel,4.7,3.3 - 6.0,2021,48,199,0,0,53
Idaho,Ada,4.7,3.3 - 6.0,2021,46,207,150,7,1
Maryland,Anne Arundel,4.7,3.3 - 6.0,2021,38,240,0,0,22
Michigan,Oakland,4.7,3.3 - 6.0,2021,39,233,63,0,0
Minnesota,Anoka,4.7,3.3 - 6.0,2021,41,217,141,6,1
New Jersey,Union,4.7,3.3 - 6.0,2021,52,0,331,34,0
New York,Queens,4.7,3.3 - 6.0,2021,47,112,240,13,0
North Dakota,Burleigh,4.7,3.3 - 6.0,2021,38,124,235,3,3
Ohio,Delaware,4.7,3.3 - 6.0,2021,38,240,0,0,0
South Dakota,Union,4.7,3.3 - 6.0,2021,44,155,117,0,1
Texas,Travis,4.7,3.3 - 6.0,2021,51,111,248,3,3
Washington,Snohomish,4.7,3.3 - 6.0,2021,35,0,365,0,0
California,Napa,4.8,3.3 - 6.0,2021,41,74,65,0,0
California,Solano,4.8,3.3 - 6.0,2021,44,172,193,0,0
California,Ventura,4.8,3.3 - 6.0,2021,53,214,140,0,11
Illinois,Lake,4.8,3.3 - 6.0,2021,42,244,0,0,0
Nebraska,Washington,4.8,3.3 - 6.0,2021,37,0,109,0,0
New Jersey,Mercer,4.8,3.3 - 6.0,2021,48,139,226,0,0
Texas,Denton,4.8,3.3 - 6.0,2021,45,226,139,0,0
Texas,Rockwall,4.8,3.3 - 6.0,2021,31,360,0,0,0
Utah,Salt Lake,4.8,3.3 - 6.0,2021,59,223,117,13,12
Vermont,Chittenden,4.8,3.3 - 6.0,2021,40,175,190,0,0
Virginia,Albemarle,4.8,3.3 - 6.0,2021,41,123,237,0,0
Virginia,Prince William,4.8,3.3 - 6.0,2021,35,349,0,10,0
Wisconsin,Outagamie,4.8,3.3 - 6.0,2021,44,100,263,0,0
Colorado,Arapahoe,4.9,3.3 - 6.0,2021,46,352,13,0,0
Colorado,Gunnison,4.9,3.3 - 6.0,2021,46,365,0,0,0
Colorado,Larimer,4.9,3.3 - 6.0,2021,54,298,67,0,0
Connecticut,Litchfield,4.9,3.3 - 6.0,2021,38,249,114,0,0
Georgia,DeKalb,4.9,3.3 - 6.0,2021,49,59,288,18,0
Idaho,Blaine,4.9,3.3 - 6.0,2021,23,0,350,0,0
North Dakota,Billings,4.9,3.3 - 6.0,2021,37,291,73,0,0
Pennsylvania,Bucks,4.9,3.3 - 6.0,2021,37,283,0,0,0
South Dakota,Brookings,4.9,3.3 - 6.0,2021,39,236,103,0,26
Virginia,Stafford,4.9,3.3 - 6.0,2021,35,357,0,0,1
Wisconsin,Door,4.9,3.3 - 6.0,2021,39,206,0,0,0
California,El Dorado,5.0,3.3 - 6.0,2021,43,349,9,0,7
Connecticut,Tolland,5.0,3.3 - 6.0,2021,39,201,0,0,0
Georgia,Columbia,5.0,3.3 - 6.0,2021,33,245,0,0,0
Georgia,Gwinnett,5.0,3.3 - 6.0,2021,49,71,253,0,0
Hawaii,Hawaii,5.0,3.3 - 6.0,2021,27,0,365,0,0
Illinois,McHenry,5.0,3.3 - 6.0,2021,49,115,248,0,0
Illinois,Will,5.0,3.3 - 6.0,2021,52,83,282,0,0
Maryland,Baltimore,5.0,3.3 - 6.0,2021,47,178,177,10,0
Maryland,Calvert,5.0,3.3 - 6.0,2021,39,223,0,0,0
Maryland,Carroll,5.0,3.3 - 6.0,2021,41,243,0,0,0
Maryland,Charles,5.0,3.3 - 6.0,2021,38,242,0,0,0
Michigan,Washtenaw,5.0,3.3 - 6.0,2021,46,150,215,0,0
Montana,Lewis and Clark,5.0,3.3 - 6.0,2021,44,218,147,0,0
Nebraska,Lancaster,5.0,3.3 - 6.0,2021,37,201,75,0,0
New Mexico,Sandoval,5.0,3.3 - 6.0,2021,44,357,0,0,0
New York,Putnam,5.0,3.3 - 6.0,2021,35,353,0,0,0
Oregon,Clackamas,5.0,3.3 - 6.0,2021,31,134,220,0,0
Rhode Island,Washington,5.0,3.3 - 6.0,2021,36,173,185,0,0
South Dakota,Minnehaha,5.0,3.3 - 6.0,2021,39,193,126,12,18
Virginia,Henrico,5.0,3.3 - 6.0,2021,44,111,250,1,0
Washington,Kitsap,5.0,3.3 - 6.0,2021,26,0,359,0,0
Wisconsin,Brown,5.0,3.3 - 6.0,2021,43,107,258,0,0
California,Santa Cruz,5.1,3.3 - 6.0,2021,37,187,178,0,0
California,Sonoma,5.1,3.3 - 6.0,2021,37,156,203,0,6
Colorado,La Plata,5.1,3.3 - 6.0,2021,47,325,38,0,0
Delaware,New Castle,5.1,3.3 - 6.0,2021,48,137,228,0,0
Maryland,Harford,5.1,3.3 - 6.0,2021,46,174,183,0,0
Massachusetts,Barnstable,5.1,3.3 - 6.0,2021,36,346,13,0,0
Minnesota,Goodhue,5.1,3.3 - 6.0,2021,39,216,0,0,0
Minnesota,Lake,5.1,3.3 - 6.0,2021,31,183,179,0,0
Montana,Missoula,5.1,3.3 - 6.0,2021,56,63,302,0,0
Nebraska,Douglas,5.1,3.3 - 6.0,2021,43,165,189,0,11
New Mexico,Bernalillo,5.1,3.3 - 6.0,2021,63,147,118,0,100
New York,Suffolk,5.1,3.3 - 6.0,2021,42,247,118,0,0
North Carolina,Mecklenburg,5.1,3.3 - 6.0,2021,49,108,257,0,0
North Dakota,Burke,5.1,3.3 - 6.0,2021,38,222,141,0,2
South Carolina,Charleston,5.1,3.3 - 6.0,2021,48,46,319,0,0
South Dakota,Hughes,5.1,3.3 - 6.0,2021,12,0,349,0,0
Utah,Tooele,5.1,3.3 - 6.0,2021,43,241,123,1,0
Washington,Thurston,5.1,3.3 - 6.0,2021,19,0,329,0,0
Wisconsin,Columbia,5.1,3.3 - 6.0,2021,40,208,0,0,0
Wisconsin,Jefferson,5.1,3.3 - 6.0,2021,40,208,0,0,0
Wisconsin,La Crosse,5.1,3.3 - 6.0,2021,43,115,250,0,0
Wisconsin,Marathon,5.1,3.3 - 6.0,2021,36,200,0,0,0
Wisconsin,Sheboygan,5.1,3.3 - 6.0,2021,41,208,0,0,0
Alabama,Shelby,5.2,3.3 - 6.0,2021,35,243,0,0,0
California,San Luis Obispo,5.2,3.3 - 6.0,2021,53,190,167,0,8
California,Yolo,5.2,3.3 - 6.0,2021,42,215,149,0,1
Colorado,El Paso,5.2,3.3 - 6.0,2021,47,333,32,0,0
Colorado,Park,5.2,3.3 - 6.0,2021,48,322,0,0,0
Connecticut,Hartford,5.2,3.3 - 6.0,2021,42,127,226,12,0
Georgia,Henry,5.2,3.3 - 6.0,2021,39,140,220,0,0
Illinois,Cook,5.2,3.3 - 6.0,2021,59,78,255,7,25
Maine,Cumberland,5.2,3.3 - 6.0,2021,36,260,97,5,3
New Hampshire,Rockingham,5.2,3.3 - 6.0,2021,40,199,165,0,1
New Jersey,Warren,5.2,3.3 - 6.0,2021,42,112,234,12,0
New Mexico,Taos,5.2,3.3 - 6.0,2021,28,0,323,0,0
North Carolina,Durham,5.2,3.3 - 6.0,2021,44,116,249,0,0
North Dakota,Ward,5.2,3.3 - 6.0,2021,37,180,179,1,0
Oregon,Multnomah,5.2,3.3 - 6.0,2021,36,188,176,1,0
South Dakota,Brown,5.2,3.3 - 6.0,2021,26,0,210,0,146
South Dakota,Meade,5.2,3.3 - 6.0,2021,38,346,0,0,19
South Dakota,Pennington,5.2,3.3 - 6.0,2021,39,0,197,16,152
Utah,Washington,5.2,3.3 - 6.0,2021,45,340,25,0,0
Wisconsin,Eau Claire,5.2,3.3 - 6.0,2021,44,98,263,0,1
Wisconsin,Kenosha,5.2,3.3 - 6.0,2021,47,168,176,0,0
Wisconsin,Walworth,5.2,3.3 - 6.0,2021,41,221,0,0,0
